Date,month_sin,month_cos,day_of_week_sin,day_of_week_cos,days_since_start,GDP growth rate (%),Unemployment rate (%),Real interest rate (%),Inflation rate (%),Population growth (%),Export growth (%),Import growth (%),SentimentNum
2003-11-21,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1420,3.7295832132222886,5.580671232876712,1.6637228586585209,2.608798044762905,0.9222993974612976,12.526515375729131,15.377559975506012,0
2003-11-22,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1421,3.7324658590474096,5.579410958904109,1.662355970906092,2.610756326676494,0.9224818466464576,12.553677057414223,15.399390362357472,0
2003-11-23,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1422,3.735348504872531,5.578150684931507,1.6609890831536636,2.6127146085900828,0.922664295831618,12.580838739099311,15.421220749208937,0
2003-11-24,-0.5000000000000004,0.8660254037844384,0.0,1.0,1423,3.738231150697653,5.576890410958904,1.659622195401235,2.614672890503672,0.9228467450167782,12.608000420784402,15.443051136060395,0
2003-11-27,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,1426,3.746879088173016,5.573109589041096,1.6555215321439494,2.6205477362444385,0.9233940925722588,12.689485465839669,15.50854229661478,-1
2003-11-29,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1428,3.7526443798232574,5.57058904109589,1.6527877566390925,2.624464300071616,0.9237589909425794,12.743808829209849,15.552203070317706,-1
2003-11-30,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1429,3.75552702564838,5.569328767123288,1.6514208688866636,2.626422581985205,0.9239414401277396,12.770970510894935,15.574033457169168,-1
2003-12-01,-2.4492935982947064e-16,1.0,0.0,1.0,1430,3.758409671473501,5.568068493150685,1.6500539811342352,2.628380863898794,0.9241238893128998,12.798132192580026,15.595863844020627,1
2003-12-02,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,1431,3.761292317298622,5.566808219178082,1.6486870933818063,2.630339145812383,0.92430633849806,12.825293874265116,15.61769423087209,1
2003-12-04,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,1433,3.767057608948865,5.564287671232877,1.6459533178769494,2.634255709639561,0.9246712368683804,12.879617237635294,15.661355004575016,1
